customer_id,household_members,number_of_children,favorite_color,favorite_season,sweetness_like,fun_spending_budget
761608a0-6cf9-4008-802c-62abb3ef3b9b,5,2,red,summer,10,129
bca345fc-260b-4dbb-be1d-bd8210db2d59,1,3,red,fall,9,199
ba3260bc-d5d9-4af5-a112-398144816479,4,3,blue,spring,9,181
f2410438-fdf2-490e-816f-681fd6e90396,4,3,green,fall,6,155
2858d0f3-7820-418d-a7f9-5f4520931b45,4,2,red,winter,6,145
8ce24a6c-fce6-4c56-94e6-d0a4de4b10d5,2,1,yellow,spring,7,114
0e237430-a78f-495e-99e4-c09af532ef3d,4,2,blue,fall,8,92
1ec02aa8-4666-485c-9dc9-f66a4b08585a,3,2,blue,spring,8,104
e023106d-29c8-4045-b03d-b0b5cccf0727,5,3,purple,fall,7,155
201bbae3-8b0f-408d-acb9-9f65f30474dd,1,2,red,spring,0,128
1c7763d1-1930-46e0-905d-8fa24b6a8a76,1,3,red,spring,8,87
c2095ea0-2174-48ca-888c-cf1214f3e36a,5,3,yellow,winter,6,122
839f5475-9ff5-4873-a7e3-7364a88f955c,3,2,green,winter,8,104
7c31c1e5-4e95-4bb9-a28a-b6d6b750e309,2,2,yellow,winter,9,91
520560a3-897e-4f0d-8ed1-395493d7aede,1,3,green,spring,8,103
e5acd422-7306-41c3-af46-4af618f8161a,2,0,purple,spring,3,20
fcf0e62d-03c0-4f2b-9326-3dd341893621,2,1,yellow,winter,6,153
68c6e9ee-bee2-430f-a4f4-8a8516ba5453,1,2,yellow,summer,1,111
b581fdb2-1221-46a3-9885-108700e01876,2,3,red,winter,7,127
4e0d6302-e3c7-4fb7-a597-0b855af4f262,5,2,yellow,fall,4,178
9664fa8d-1fb5-4d7d-b9fc-4e716d6fc3b4,4,1,red,winter,9,27
c5ef5396-4d48-4f86-ab8d-320a3adcd069,1,2,purple,spring,2,169
dda09443-d291-42c4-80db-ad925785664d,4,1,green,winter,0,156
f70b8a0e-fb64-4b29-95db-1c28021b6230,1,0,yellow,spring,8,191
2ad30820-f276-4875-8e81-52783a423671,3,2,purple,winter,2,66
491797be-7d0b-4daa-9c6c-975b3401de59,4,2,red,winter,7,20
6224e722-1108-4ff5-b921-2cc90ece7e06,1,3,green,summer,8,124
b48515cb-99fb-4e67-8247-ad292a96a2b2,2,0,yellow,fall,4,199
4376eaa2-4918-45c7-87fd-af384327cee9,4,3,yellow,summer,4,58
1e3d3c71-1361-4cf8-97c6-93c86c03e4ca,4,2,blue,spring,1,109
a146df12-5a84-4f7f-a04b-b0609a875fe4,4,3,yellow,spring,7,94
90a0ca25-818b-4605-9c7c-ae524653267d,1,0,purple,winter,6,143
0a69196f-2638-4cd6-a09d-18ff5508b641,2,0,yellow,spring,9,107
f22561e6-ddb8-4827-9daf-d9aa81680195,2,2,yellow,winter,4,116
9671a8bf-3d71-4e4d-b108-dc7247e13495,2,0,blue,spring,1,103
5d59556f-1d42-4aea-a786-2f5d608766db,1,2,blue,spring,5,46
a44655ab-09b7-486d-b63a-1123ba4f00f4,3,3,blue,summer,9,52
3366210d-b456-4102-8011-53c804510929,5,2,yellow,spring,7,135
f6b874ff-f6b2-4469-bb94-7cdb8a9d4651,4,2,green,fall,1,117
df6d680e-6462-4959-94e3-7f17bdd66596,4,3,green,fall,3,192
abf6bbe8-6d18-440e-9ed4-9e62550068e4,3,0,purple,fall,5,79
61120628-49ca-4fee-af0a-416c48aee324,5,0,yellow,spring,7,77
3d58c043-3b54-44f8-8153-b16676b60e01,3,0,blue,spring,3,198
c13aa26a-833e-47cc-bf66-fb58ff745c6f,1,1,green,fall,6,193
7736291b-c4c2-46ec-a999-8e49c55cd667,1,2,yellow,spring,6,152
080e5019-a8d6-42d7-83db-ed53345afb76,5,0,blue,fall,7,113
5c1010c1-9e24-4b9c-be73-c9aeaf83b871,1,1,purple,winter,9,111
33fef906-7ec2-47bb-9a19-a87d41b014c9,5,2,green,fall,1,165
d970368f-7da7-4de4-8e70-c10dcf0128d3,2,3,green,winter,9,183
2ada3a13-3c30-43ce-80aa-d6ffa884adb5,5,2,red,winter,6,168
3624797c-a5ee-4f34-b49a-8076d04cfad6,2,2,blue,spring,0,193
1ccd9cd3-32ac-44a6-8e15-ab55d30e98c3,3,3,red,summer,3,139
f36bf03c-5cee-4ca1-8e5b-12a96bf9d984,3,1,purple,summer,8,184
45fe9300-1e4e-476c-a0eb-bd9037004363,1,0,red,summer,4,125
4b8b53ee-1fa2-46b4-a6f9-dbc0632934fd,2,0,yellow,spring,1,24
5ba55a22-b730-4d1a-8323-767810ac9165,2,0,green,spring,4,178
c62b9f78-a578-4869-a6da-3355be547a67,2,3,red,winter,5,129
a1642bdb-a3f5-458c-88cb-b3d383417cb5,2,3,red,winter,0,107
0f00b69b-44fa-4160-8e3e-bf53b243dee6,4,0,blue,summer,3,183
86a8904f-d258-4c07-90ae-4d2d729fe389,4,2,blue,winter,10,93
6a0d5902-021e-4087-8eb3-00057faba3bb,3,2,red,spring,1,46
73194426-18bd-420d-a1a6-bc55267f7591,4,0,yellow,winter,4,138
